Model Year,Manufacturer,Standards Category,Vehicle Fleet Category,GHG Standard (g/mi),Fleet Average (g/mi),Production Volume,Fleet Credits (Mg),A/C Efficiency Credits (Mg),A/C Leakage Credits (Mg),Off-Cycle Credits (Mg),Advanced Technology Credits (Mg),Methane (CH4) Debits (Mg),Nitrous Oxide (N2O) Debits (Mg),Total Credits (Mg)
"2009","BMW","EARLY","Car","-","-","-","316,248","62,528","74,511","47,875","-","-","-","501,162"
"2009","BMW","EARLY","Truck","-","-","-","-49,852","16,106","26,142","19,415","-","-","-","11,811"
"2010","BMW","EARLY","Car","-","-","-","197,441","46,231","55,480","35,317","-","-","-","334,469"
"2010","BMW","EARLY","Truck","-","-","-","-24,596","12,765","21,169","15,324","-","-","-","24,662"
"2011","BMW","EARLY","Car","-","-","-","-30,064","113,483","122,019","90,952","-","-","-","296,390"
"2011","BMW","EARLY","Truck","-","-","-","-35,374","30,428","49,627","38,347","-","-","-","83,028"
"2012","BMW","PRIMARY","Car","269.00","277","191,154","-298,604","116,556","149,108","96,322","-","-","-","63,382"
"2012","BMW","PRIMARY","Truck","336.00","363","65,856","-401,613","63,960","102,347","80,543","-","-3,944","-15,671","-174,378"
"2013","BMW","PRIMARY","Car","263.00","271","303,319","-473,818","251,534","208,519","176,244","-","-","-","162,479"
"2013","BMW","PRIMARY","Truck","324.00","346","98,969","-491,780","156,207","96,121","132,084","-","-1,287","-5,115","-113,770"
"2014","BMW","PRIMARY","Car","258.00","256","297,388","116,138","231,480","256,260","183,103","-","-4,677","-37,167","745,137"
"2014","BMW","PRIMARY","Truck","313.00","312","81,938","18,507","79,580","131,203","113,537","-","-1,365","-10,847","330,615"
"2015","BMW","PRIMARY","Car","244.00","256","338,704","-793,640","274,938","298,951","233,580","-","-1,497","-11,894","438"
"2015","BMW","PRIMARY","Truck","301.00","316","87,135","-295,211","84,627","136,661","128,762","-","-3,259","-25,900","25,680"
"2016","BMW","PRIMARY","Car","235.00","262","289,036","-1,523,835","241,276","261,750","213,889","-","-879","-6,982","-814,781"
"2016","BMW","PRIMARY","Truck","286.00","310","99,451","-539,100","97,329","156,928","155,758","-","-1,130","-8,976","-139,191"
"2017","BMW","PRIMARY","Car","221.00","251","228,971","-1,341,294","209,980","612,804","155,017","354,692","-486","-3,873","-13,160"
"2017","BMW","PRIMARY","Truck","284.00","310","106,960","-628,122","133,605","405,303","163,827","86,192","-900","-7,153","152,752"
"2018","BMW","PRIMARY","Car","212.00","253","269,666","-2,158,899","253,125","717,520","222,488","396,705","-665","-5,285","-575,011"
"2018","BMW","PRIMARY","Truck","275.00","304","98,526","-645,354","136,656","375,662","180,596","101,963","-1,197","-9,515","138,811"
"2012","BYD Motors","PRIMARY","Car","277.00","-","11","595","-","-","-","-","-","-","595"
"2013","BYD Motors","PRIMARY","Car","269.00","-","32","1,681","-","-","-","-","-","-","1,681"
"2014","BYD Motors","PRIMARY","Car","261.00","-","50","2,548","-","-","-","-","-","-","2,548"
"2016","BYD Motors","PRIMARY","Car","239.00","-","1","47","-","-","-","-","-","-","47"
"2017","BYD Motors","PRIMARY","Car","226.00","-","6","265","-","-","-","264","-","-","529"
"2018","BYD Motors","PRIMARY","Car","215.00","-","2","84","-","-","-","84","-","-","168"
"2012","Coda","PRIMARY","Car","246.00","-","115","5,524","-","-","-","-","-","-","5,524"
"2013","Coda","PRIMARY","Car","239.00","-","37","1,727","-","-","-","-","-","-","1,727"
"2009","FCA","EARLY","Car","-","-","-","224,447","68,074","306,794","63,919","-","-","-","663,234"
"2009","FCA","EARLY","Truck","-","-","-","4,414,889","86,828","825,947","318,290","-","-","-","5,645,954"
"2010","FCA","EARLY","Car","-","-","-","-1,259,775","107,553","459,191","92,694","-","-","-","-600,337"
"2010","FCA","EARLY","Truck","-","-","-","4,284,933","111,650","1,130,211","449,419","-","-","-","5,976,213"
"2011","FCA","EARLY","Car","-","-","-","-2,753,843","118,345","412,368","116,435","-","-","-","-2,106,695"
"2011","FCA","EARLY","Truck","-","-","-","-1,002,145","324,184","1,250,556","676,119","-","-","-","1,248,714"
"2012","FCA","PRIMARY","Car","277.00","287","538,887","-1,052,252","323,190","652,554","214,444","-","-8,804","-","129,132"
"2012","FCA","PRIMARY","Truck","345.00","363","994,996","-4,045,226","509,863","1,748,404","1,037,392","-","-19,913","-","-769,480"
"2013","FCA","PRIMARY","Car","270.00","277","654,845","-895,074","421,109","796,491","240,057","-","-5,058","-","557,525"
"2013","FCA","PRIMARY","Truck","338.00","359","852,653","-4,044,274","593,554","1,502,157","1,038,620","-","-190","-","-910,133"
"2014","FCA","PRIMARY","Car","262.00","286","648,377","-3,038,512","526,044","1,113,855","455,743","-","-755","-","-943,625"
"2014","FCA","PRIMARY","Truck","327.00","345","1,446,365","-5,880,298","1,313,950","3,186,801","2,510,037","-","-46,268","-","1,084,222"
"2015","FCA","PRIMARY","Car","247.00","266","769,687","-2,855,551","673,129","1,904,927","564,899","-","-10","-","287,394"
"2015","FCA","PRIMARY","Truck","307.00","339","1,416,487","-10,237,915","1,507,070","4,672,447","2,540,521","-","-3,650","-","-1,521,527"
"2016","FCA","PRIMARY","Car","237.00","288","632,859","-6,302,304","601,135","1,509,550","444,020","-","-38","-","-3,747,637"
"2016","FCA","PRIMARY","Truck","295.00","348","1,365,868","-16,350,594","1,309,446","4,537,811","2,621,961","-","-5,071","-","-7,886,447"
"2017","FCA","PRIMARY","Car","225.00","291","371,476","-4,787,369","306,736","904,745","246,677","365,561","-69","-","-2,963,719"
